sale_id,sale_date,city,state,brand,model,customer_age,gender,payment_mode,ex_showroom_price,discount,final_price,quantity,revenue
1,2024-07-17,Mumbai,Maharashtra,Yamaha,FZ-S,32.0,Male,Cash,150761,4585.0,146176,2,292352
2,2023-06-28,Chennai,Tamil Nadu,Yamaha,MT-15,20.0,Male,Cash,152513,9569.0,142944,4,571776
3,2023-02-24,Chennai,Tamil Nadu,Honda,Shine,59.0,Female,Loan,93220,4297.0,88923,2,177846
4,2023-01-14,Vadodara,Gujarat,Bajaj,Platina 110,45.0,Female,UPI,123897,7302.0,116595,2,233190
5,2023-07-29,Surat,Gujarat,Honda,Shine,42.0,Male,UPI,91431,6627.0,84804,1,84804
6,2024-06-25,Kolkata,West Bengal,Suzuki,Gixxer,47.0,Male,Credit Card,110736,3602.0,107134,1,107134
7,2025-01-10,Vadodara,Gujarat,Hero,Xtreme 125R,22.0,Male,Loan,86645,0.0,86645,2,173290
8,2024-04-21,Delhi,Delhi,Suzuki,Gixxer,42.0,Female,Credit Card,99130,3313.0,95817,1,95817
9,2025-01-28,Bengaluru,Karnataka,Yamaha,R15 V4,31.0,Female,Cash,133251,5942.0,127309,3,381927
10,2025-12-29,Bengaluru,Karnataka,Royal Enfield,Meteor 350,28.0,Female,Credit Card,194745,763.0,193982,2,387964
11,2024-03-25,Lucknow,Uttar Pradesh,TVS,Jupiter,,Male,Cash,117311,4322.0,112989,3,338967
12,2024-07-02,Pune,Maharashtra,Suzuki,Gixxer,31.0,Female,Loan,115621,725.0,114896,1,114896
13,2025-07-28,Pune,Maharashtra,Yamaha,R15 V4,34.0,Male,,138685,5332.0,133353,2,266706
14,2024-06-22,Chennai,Tamil Nadu,Yamaha,MT-15,55.0,Female,UPI,131648,6127.0,125521,4,502084
15,2025-10-07,Chennai,Tamil Nadu,Honda,Shine,21.0,Male,Loan,90435,4124.0,86311,1,86311
16,2025-05-14,Jaipur,Rajasthan,Yamaha,FZ-S,42.0,Female,Credit Card,138020,10556.0,127464,1,127464
17,2023-01-24,Chennai,Tamil Nadu,Royal Enfield,Hunter 350,52.0,Female,UPI,209773,1826.0,207947,1,207947
18,2023-11-20,Pune,Maharashtra,Hero,HF Deluxe,18.0,Female,Loan,90593,1337.0,89256,4,357024
19,2024-09-03,Jaipur,Rajasthan,Royal Enfield,Classic 350,27.0,Female,Loan,213508,0.0,213508,2,427016
20,2024-10-25,Mumbai,Maharashtra,Royal Enfield,Meteor 350,19.0,,UPI,187686,5590.0,182096,4,728384
21,2023-04-29,Ahmedabad,Gujarat,Suzuki,Gixxer,54.0,Male,Cash,121793,5514.0,116279,2,232558
22,2025-12-26,Delhi,Delhi,Yamaha,R15 V4,26.0,Female,Loan,143658,4096.0,139562,2,279124
23,2025-05-16,Kolkata,West Bengal,TVS,Jupiter,52.0,Male,UPI,92580,2840.0,89740,2,179480
24,2025-02-03,Jaipur,Rajasthan,Bajaj,Platina 110,51.0,Female,Cash,105946,8171.0,97775,4,391100
25,2024-11-23,Delhi,Delhi,Honda,Shine,55.0,Male,Loan,97611,0.0,97611,1,97611
26,2023-05-01,Lucknow,Uttar Pradesh,Hero,Splendor Plus,22.0,Male,UPI,87203,3844.0,83359,2,166718
27,2024-07-24,Ahmedabad,Gujarat,Hero,Xtreme 125R,31.0,Male,Credit Card,80396,,73561,4,294244
28,2024-01-25,Pune,Maharashtra,Honda,SP125,24.0,Female,UPI,102835,7793.0,95042,1,95042
29,2023-04-21,Hyderabad,Telangana,Bajaj,Pulsar NS200,21.0,Female,,102614,4072.0,98542,1,98542
30,2024-01-28,Ahmedabad,Gujarat,Suzuki,Access 125,52.0,Female,Loan,118047,7926.0,110121,2,220242
31,2025-08-05,Vadodara,Gujarat,Bajaj,Pulsar 125,22.0,Female,Cash,105783,4443.0,101340,2,202680
32,2023-01-31,Chennai,Tamil Nadu,Hero,Xtreme 125R,33.0,Male,Credit Card,77476,1411.0,76065,1,76065
33,2025-04-01,Ahmedabad,Gujarat,Bajaj,Pulsar NS200,28.0,Female,Cash,117150,9068.0,108082,1,108082
34,2024-08-07,Hyderabad,Telangana,Bajaj,Pulsar NS200,53.0,Female,Loan,109366,8010.0,101356,4,405424
35,2023-04-30,Ahmedabad,Gujarat,Honda,SP125,38.0,Male,Cash,97748,3064.0,94684,1,94684
36,2025-12-23,Chennai,Tamil Nadu,Royal Enfield,Hunter 350,21.0,Male,Loan,216071,9614.0,206457,2,412914
37,2024-04-26,Delhi,Delhi,Hero,Xtreme 125R,25.0,Male,Cash,84756,9693.0,75063,4,300252
38,2025-12-06,Pune,Maharashtra,Royal Enfield,Classic 350,34.0,Male,UPI,165988,7465.0,158523,3,475569
39,2023-09-26,Pune,Maharashtra,Honda,SP125,47.0,Female,Cash,95661,4102.0,91559,3,274677
40,2023-07-24,Kolkata,West Bengal,Hero,HF Deluxe,52.0,Male,UPI,85623,0.0,85623,1,85623
41,2024-05-15,Delhi,Delhi,Honda,SP125,36.0,,Credit Card,93330,6071.0,87259,3,261777
42,2024-09-11,Lucknow,Uttar Pradesh,Suzuki,Avenis,60.0,Female,Cash,128596,3445.0,125151,1,125151
43,2023-08-08,Delhi,Delhi,Honda,SP125,35.0,Female,Loan,88855,3494.0,85361,2,170722
44,2024-06-24,Ahmedabad,Gujarat,Yamaha,R15 V4,,Male,Cash,155618,5986.0,149632,4,598528
45,2023-04-01,Vadodara,Gujarat,Yamaha,R15 V4,39.0,Male,UPI,138854,6539.0,132315,1,132315
46,2025-05-25,Hyderabad,Telangana,Honda,Unicorn,25.0,Male,Loan,95737,7905.0,87832,1,87832
47,2023-10-31,Surat,Gujarat,Royal Enfield,Classic 350,26.0,Male,UPI,198205,4017.0,194188,4,776752
48,2024-03-06,Surat,Gujarat,TVS,Apache RTR 160,60.0,Male,UPI,101706,,101097,2,202194
49,2023-11-13,Pune,Maharashtra,Suzuki,Avenis,28.0,Male,Credit Card,117724,5783.0,111941,2,223882
50,2024-11-11,Lucknow,Uttar Pradesh,Hero,Splendor Plus,60.0,Male,UPI,85034,4296.0,80738,4,322952
51,2025-02-22,Delhi,Delhi,Honda,Unicorn,48.0,,Loan,84243,3738.0,80505,1,80505
52,2024-09-17,Surat,Gujarat,Suzuki,Gixxer,32.0,Male,Loan,111847,2593.0,109254,2,218508
53,2023-05-23,Vadodara,Gujarat,Bajaj,Pulsar NS200,40.0,Female,UPI,108580,6212.0,102368,3,307104
54,2024-01-01,Vadodara,Gujarat,Hero,Splendor Plus,20.0,Male,Credit Card,97826,5523.0,92303,3,276909
55,2025-06-12,Surat,Gujarat,TVS,Jupiter,42.0,Male,,107163,4776.0,102387,1,102387
56,2023-01-04,Pune,Maharashtra,Hero,Xtreme 125R,41.0,Female,Cash,71952,4920.0,67032,2,134064
57,2024-10-04,Kolkata,West Bengal,Yamaha,R15 V4,37.0,Female,Credit Card,145698,12389.0,133309,1,133309
58,2024-08-28,Lucknow,Uttar Pradesh,TVS,Raider 125,30.0,Female,Credit Card,103384,5904.0,97480,2,194960
59,2024-09-08,Bengaluru,Karnataka,Yamaha,MT-15,53.0,Male,UPI,144597,1493.0,143104,4,572416
60,2024-10-21,Pune,Maharashtra,TVS,Apache RTR 160,46.0,Female,Loan,114599,7255.0,107344,4,429376
61,2023-12-14,Lucknow,Uttar Pradesh,Royal Enfield,Hunter 350,36.0,Female,Cash,223289,2271.0,221018,1,221018
62,2024-09-27,Jaipur,Rajasthan,Suzuki,Access 125,30.0,Male,Cash,127905,794.0,127111,2,254222
63,2023-05-30,Hyderabad,Telangana,Hero,Splendor Plus,44.0,Male,Credit Card,88990,11571.0,77419,4,309676
64,2023-10-30,Ahmedabad,Gujarat,Bajaj,Pulsar NS200,24.0,Female,Loan,101283,3301.0,97982,1,97982
65,2025-08-09,Chennai,Tamil Nadu,Honda,Unicorn,53.0,Male,Cash,95757,3489.0,92268,1,92268
66,2025-12-23,Hyderabad,Telangana,Bajaj,Pulsar 125,46.0,Female,Credit Card,96354,5205.0,91149,3,273447
67,2025-07-10,Hyderabad,Telangana,Honda,Unicorn,33.0,Female,Credit Card,86926,6420.0,80506,3,241518
68,2025-06-19,Vadodara,Gujarat,Yamaha,FZ-S,36.0,Male,UPI,134334,9649.0,124685,1,124685
69,2023-06-15,Chennai,Tamil Nadu,TVS,Raider 125,27.0,Male,Credit Card,98420,4033.0,94387,2,188774
70,2024-03-14,Lucknow,Uttar Pradesh,Yamaha,FZ-S,44.0,Female,UPI,154436,1307.0,153129,1,153129
71,2023-05-08,Pune,Maharashtra,Royal Enfield,Hunter 350,44.0,Female,,213821,8921.0,204900,2,409800
72,2025-09-03,Pune,Maharashtra,Suzuki,Avenis,40.0,Female,Credit Card,100211,5553.0,94658,1,94658
73,2024-03-27,Chennai,Tamil Nadu,Suzuki,Gixxer,32.0,Female,Credit Card,117390,7345.0,110045,4,440180
74,2024-11-19,Pune,Maharashtra,Bajaj,Pulsar 125,28.0,Female,Loan,99114,1038.0,98076,4,392304
75,2025-03-17,Mumbai,Maharashtra,Royal Enfield,Meteor 350,23.0,,Loan,218768,,212878,1,212878
76,2023-04-13,Bengaluru,Karnataka,Suzuki,Gixxer,42.0,Female,Loan,117304,6039.0,111265,3,333795
77,2025-02-15,Surat,Gujarat,Bajaj,Pulsar NS200,44.0,,Cash,104015,5696.0,98319,3,294957
78,2023-04-17,Lucknow,Uttar Pradesh,Bajaj,Pulsar 125,32.0,Male,Cash,112579,2856.0,109723,3,329169
79,2024-02-13,Ahmedabad,Gujarat,Suzuki,Access 125,,Male,Loan,132165,6421.0,125744,1,125744
80,2023-08-23,Jaipur,Rajasthan,Honda,SP125,47.0,Female,UPI,85946,6969.0,78977,2,157954
81,2023-08-23,Kolkata,West Bengal,Honda,Unicorn,37.0,Male,Cash,87592,7361.0,80231,2,160462
82,2025-02-07,Jaipur,Rajasthan,TVS,Jupiter,30.0,Male,Loan,114732,,112195,4,448780
83,2023-09-05,Vadodara,Gujarat,Hero,Xtreme 125R,40.0,Female,UPI,91550,6238.0,85312,1,85312
84,2024-11-29,Jaipur,Rajasthan,Hero,Xtreme 125R,44.0,Female,Cash,90590,10690.0,79900,1,79900
85,2025-07-30,Jaipur,Rajasthan,Bajaj,Pulsar NS200,45.0,Male,UPI,107840,2738.0,105102,2,210204
86,2025-08-10,Hyderabad,Telangana,Royal Enfield,Meteor 350,55.0,Female,UPI,195056,2552.0,192504,4,770016
87,2024-07-25,Delhi,Delhi,Suzuki,Access 125,33.0,Female,Credit Card,114290,6023.0,108267,4,433068
88,2024-10-27,Hyderabad,Telangana,TVS,Apache RTR 160,49.0,Male,UPI,107324,,99843,2,199686
89,2024-07-26,Surat,Gujarat,Suzuki,Gixxer,53.0,Male,Loan,115119,9360.0,105759,3,317277
90,2025-04-12,Lucknow,Uttar Pradesh,Hero,Splendor Plus,53.0,Male,Credit Card,83200,,70040,4,280160
91,2025-07-06,Hyderabad,Telangana,Yamaha,MT-15,23.0,Female,Loan,152257,2428.0,149829,1,149829
92,2024-09-19,Ahmedabad,Gujarat,Bajaj,Platina 110,48.0,Female,Credit Card,100576,,94129,3,282387
93,2024-12-21,Surat,Gujarat,Yamaha,MT-15,35.0,Female,UPI,142407,7142.0,135265,4,541060
94,2024-01-30,Lucknow,Uttar Pradesh,Honda,Shine,25.0,Male,Loan,98596,4781.0,93815,3,281445
95,2024-07-20,Hyderabad,Telangana,Honda,Unicorn,24.0,Male,,88564,455.0,88109,3,264327
96,2024-09-11,Bengaluru,Karnataka,Honda,SP125,52.0,Male,UPI,91606,7569.0,84037,1,84037
97,2024-08-21,Chennai,Tamil Nadu,Hero,Splendor Plus,58.0,Female,Cash,86455,1262.0,85193,2,170386
98,2024-08-05,Kolkata,West Bengal,Suzuki,Access 125,48.0,Female,,116593,6155.0,110438,4,441752
99,2025-09-05,Vadodara,Gujarat,Honda,Shine,22.0,Female,Credit Card,88282,5461.0,82821,1,82821
100,2023-04-20,Jaipur,Rajasthan,Hero,Xtreme 125R,27.0,Female,Cash,85395,1571.0,83824,2,167648
101,2025-05-02,Chennai,Tamil Nadu,Honda,Shine,51.0,Female,Credit Card,97719,6682.0,91037,2,182074
102,2025-05-28,Kolkata,West Bengal,Bajaj,Pulsar NS200,54.0,Male,Cash,119530,8161.0,111369,3,334107
103,2024-03-08,Jaipur,Rajasthan,Suzuki,Access 125,60.0,Male,Loan,102325,2186.0,100139,3,300417
104,2023-06-03,Chennai,Tamil Nadu,Honda,Shine,18.0,Female,Credit Card,98914,6541.0,92373,2,184746
105,2024-08-19,Hyderabad,Telangana,Yamaha,MT-15,32.0,Female,UPI,150974,16558.0,134416,1,134416
106,2024-04-23,Delhi,Delhi,Yamaha,R15 V4,58.0,Male,Credit Card,151622,8406.0,143216,3,429648
107,2023-11-02,Ahmedabad,Gujarat,Hero,Xtreme 125R,27.0,Male,Cash,91487,6954.0,84533,3,253599
108,2024-08-14,Kolkata,West Bengal,Honda,SP125,25.0,Female,UPI,92603,7276.0,85327,4,341308
109,2025-10-21,Vadodara,Gujarat,Yamaha,R15 V4,46.0,Male,Cash,136035,4289.0,131746,4,526984
110,2024-05-27,Surat,Gujarat,Bajaj,Platina 110,23.0,Male,Cash,105728,5245.0,100483,1,100483
111,2023-03-24,Vadodara,Gujarat,Suzuki,Avenis,,Female,UPI,136294,0.0,136294,2,272588
112,2025-10-04,Pune,Maharashtra,Honda,Unicorn,48.0,Female,Credit Card,100215,161.0,100054,1,100054
113,2023-08-03,Jaipur,Rajasthan,TVS,Raider 125,39.0,Female,Credit Card,101035,8266.0,92769,2,185538
114,2023-03-17,Pune,Maharashtra,TVS,Jupiter,23.0,Female,UPI,105539,1766.0,103773,4,415092
115,2025-11-19,Pune,Maharashtra,TVS,Apache RTR 160,60.0,Female,Credit Card,98991,7038.0,91953,1,91953
116,2025-01-10,Chennai,Tamil Nadu,Hero,Splendor Plus,58.0,,Cash,80033,5649.0,74384,4,297536
117,2023-09-26,Chennai,Tamil Nadu,Honda,SP125,46.0,Female,Cash,95346,3045.0,92301,3,276903
118,2024-05-05,Kolkata,West Bengal,Hero,Xtreme 125R,37.0,Male,Credit Card,99578,6901.0,92677,2,185354
119,2025-08-03,Delhi,Delhi,Hero,Splendor Plus,59.0,Male,Credit Card,71229,5559.0,65670,1,65670
120,2024-07-13,Chennai,Tamil Nadu,Yamaha,R15 V4,48.0,Female,,137323,7557.0,129766,4,519064
121,2025-02-24,Bengaluru,Karnataka,Bajaj,Platina 110,56.0,Male,Cash,103025,4655.0,98370,2,196740
122,2025-11-05,Surat,Gujarat,TVS,Raider 125,18.0,Female,UPI,109241,7597.0,101644,3,304932
123,2025-09-29,Kolkata,West Bengal,Suzuki,Avenis,46.0,Female,UPI,103957,3996.0,99961,2,199922
124,2025-02-11,Chennai,Tamil Nadu,TVS,Jupiter,38.0,Male,Loan,101010,3040.0,97970,4,391880
125,2025-04-21,Ahmedabad,Gujarat,Royal Enfield,Hunter 350,,Female,Credit Card,239659,6214.0,233445,1,233445
126,2023-11-08,Jaipur,Rajasthan,Bajaj,Platina 110,20.0,Male,UPI,98904,7753.0,91151,4,364604
127,2023-07-24,Hyderabad,Telangana,Suzuki,Access 125,18.0,Male,,134523,8097.0,126426,4,505704
128,2023-06-03,Bengaluru,Karnataka,Suzuki,Avenis,34.0,Female,Credit Card,101021,3547.0,97474,4,389896
129,2025-12-28,Surat,Gujarat,Yamaha,FZ-S,38.0,,Cash,159696,2876.0,156820,4,627280
130,2024-08-11,Ahmedabad,Gujarat,Royal Enfield,Classic 350,23.0,,Cash,217456,7323.0,210133,2,420266
131,2023-07-25,Lucknow,Uttar Pradesh,Suzuki,Avenis,28.0,Female,Cash,106472,4821.0,101651,4,406604
132,2024-08-23,Mumbai,Maharashtra,Hero,HF Deluxe,41.0,Female,,62959,1926.0,61033,3,183099
133,2024-01-04,Pune,Maharashtra,Honda,Unicorn,29.0,Male,Credit Card,93080,1256.0,91824,2,183648
134,2025-10-16,Ahmedabad,Gujarat,Royal Enfield,Meteor 350,32.0,Female,UPI,237424,709.0,236715,2,473430
135,2023-01-20,Jaipur,Rajasthan,Bajaj,Pulsar NS200,36.0,Male,Cash,106127,5392.0,100735,4,402940
136,2024-09-04,Kolkata,West Bengal,Bajaj,Pulsar NS200,,Female,UPI,122683,692.0,121991,4,487964
137,2023-08-07,Hyderabad,Telangana,Honda,SP125,42.0,Female,UPI,103840,5030.0,98810,2,197620
138,2025-03-21,Mumbai,Maharashtra,Yamaha,R15 V4,,Male,Credit Card,133614,6386.0,127228,3,381684
139,2024-12-22,Ahmedabad,Gujarat,Suzuki,Gixxer,58.0,Male,UPI,116831,3199.0,113632,2,227264
140,2023-10-08,Jaipur,Rajasthan,Yamaha,MT-15,58.0,Male,UPI,145809,3844.0,141965,1,141965
141,2025-01-17,Mumbai,Maharashtra,Suzuki,Gixxer,23.0,Female,UPI,116044,6986.0,109058,2,218116
142,2024-02-16,Bengaluru,Karnataka,Yamaha,R15 V4,52.0,Female,UPI,163397,1286.0,162111,2,324222
143,2025-09-13,Vadodara,Gujarat,Suzuki,Access 125,39.0,Male,Credit Card,134623,0.0,134623,3,403869
144,2025-03-24,Ahmedabad,Gujarat,Hero,Splendor Plus,23.0,Female,Cash,83967,,77203,3,231609
145,2025-07-20,Delhi,Delhi,TVS,Jupiter,34.0,Female,UPI,107360,3131.0,104229,3,312687
146,2025-08-23,Ahmedabad,Gujarat,Hero,Xtreme 125R,,Female,Loan,83584,3520.0,80064,1,80064
147,2025-08-08,Jaipur,Rajasthan,Yamaha,FZ-S,59.0,Female,Cash,138163,7548.0,130615,3,391845
