sale_id,sale_date,city,state,brand,model,customer_age,gender,payment_mode,ex_showroom_price,discount,final_price,quantity,revenue
1,2024-07-17,Mumbai,Maharashtra,Yamaha,FZ-S,32.0,Male,Cash,150761,4585,146176,2,292352
2,2023-06-28,Chennai,Tamil Nadu,Yamaha,MT-15,20.0,Male,Cash,152513,9569,142944,4,571776
3,2023-02-24,Chennai,Tamil Nadu,Honda,Shine,59.0,Female,Loan,93220,4297,88923,2,177846
4,2023-01-14,Vadodara,Gujarat,Bajaj,Platina 110,45.0,Female,UPI,123897,7302,116595,2,233190
5,2023-07-29,Surat,Gujarat,Honda,Shine,42.0,Male,UPI,91431,6627,84804,1,84804
6,2024-06-25,Kolkata,West Bengal,Suzuki,Gixxer,47.0,Male,Credit Card,110736,3602,107134,1,107134
7,2025-01-10,Vadodara,Gujarat,Hero,Xtreme 125R,22.0,Male,Loan,86645,0,86645,2,173290
8,2024-04-21,Delhi,Delhi,Suzuki,Gixxer,42.0,Female,Credit Card,99130,3313,95817,1,95817
9,2025-01-28,Bengaluru,Karnataka,Yamaha,R15 V4,31.0,Female,Cash,133251,5942,127309,3,381927
10,2025-12-29,Bengaluru,Karnataka,Royal Enfield,Meteor 350,28.0,Female,Credit Card,194745,763,193982,2,387964
11,2024-03-25,Lucknow,Uttar Pradesh,TVS,Jupiter,39.0,Male,Cash,117311,4322,112989,3,338967
12,2024-07-02,Pune,Maharashtra,Suzuki,Gixxer,31.0,Female,Loan,115621,725,114896,1,114896
13,2025-07-28,Pune,Maharashtra,Yamaha,R15 V4,34.0,Male,Cash,138685,5332,133353,2,266706
14,2024-06-22,Chennai,Tamil Nadu,Yamaha,MT-15,55.0,Female,UPI,131648,6127,125521,4,502084
15,2025-10-07,Chennai,Tamil Nadu,Honda,Shine,21.0,Male,Loan,90435,4124,86311,1,86311
16,2025-05-14,Jaipur,Rajasthan,Yamaha,FZ-S,42.0,Female,Credit Card,138020,10556,127464,1,127464
17,2023-01-24,Chennai,Tamil Nadu,Royal Enfield,Hunter 350,52.0,Female,UPI,209773,1826,207947,1,207947
18,2023-11-20,Pune,Maharashtra,Hero,HF Deluxe,18.0,Female,Loan,90593,1337,89256,4,357024
19,2024-09-03,Jaipur,Rajasthan,Royal Enfield,Classic 350,27.0,Female,Loan,213508,0,213508,2,427016
20,2024-10-25,Mumbai,Maharashtra,Royal Enfield,Meteor 350,19.0,Female,UPI,187686,5590,182096,4,728384
